"Kod";"Nazwa";"porady ogółem;ogółem;2020;[-]";
0201000;"Powiat bolesławiecki";342442;
0202000;"Powiat dzierżoniowski";505847;
0203000;"Powiat głogowski";345697;
0204000;"Powiat górowski";127332;
0205000;"Powiat jaworski";220350;
0206000;"Powiat karkonoski";147573;
0207000;"Powiat kamiennogórski";155950;
0208000;"Powiat kłodzki";723517;
0209000;"Powiat legnicki";180442;
0210000;"Powiat lubański";220894;
0211000;"Powiat lubiński";442288;
0212000;"Powiat lwówecki";155398;
0213000;"Powiat milicki";111394;
0214000;"Powiat oleśnicki";435549;
0215000;"Powiat oławski";324168;
0216000;"Powiat polkowicki";230077;
0217000;"Powiat strzeliński";180695;
0218000;"Powiat średzki";222928;
0219000;"Powiat świdnicki";646546;
0220000;"Powiat trzebnicki";307575;
0221000;"Powiat wałbrzyski";170147;
0222000;"Powiat wołowski";216645;
0223000;"Powiat wrocławski";557273;
0224000;"Powiat ząbkowicki";208975;
0225000;"Powiat zgorzelecki";316132;
0226000;"Powiat złotoryjski";177087;
0261000;"Powiat m.Jelenia Góra";458287;
0262000;"Powiat m.Legnica";415670;
0264000;"Powiat m.Wrocław";2857426;
0265000;"Powiat m.Wałbrzych od 2013";435375;
0401000;"Powiat aleksandrowski";259183;
0402000;"Powiat brodnicki";391868;
0403000;"Powiat bydgoski";421331;
0404000;"Powiat chełmiński";208820;
0405000;"Powiat golubsko-dobrzyński";213975;
0406000;"Powiat grudziądzki";116657;
0407000;"Powiat inowrocławski";784709;
0408000;"Powiat lipnowski";270310;
0409000;"Powiat mogileński";206602;
0410000;"Powiat nakielski";379291;
0411000;"Powiat radziejowski";186627;
0412000;"Powiat rypiński";164144;
0413000;"Powiat sępoleński";183174;
0414000;"Powiat świecki";367649;
0415000;"Powiat toruński";340484;
0416000;"Powiat tucholski";184522;
0417000;"Powiat wąbrzeski";178137;
0418000;"Powiat włocławski";331145;
0419000;"Powiat żniński";337703;
0461000;"Powiat m.Bydgoszcz";1502239;
0462000;"Powiat m.Grudziądz";385288;
0463000;"Powiat m.Toruń";1010939;
0464000;"Powiat m.Włocławek";562322;
0601000;"Powiat bialski";392122;
0602000;"Powiat biłgorajski";376645;
0603000;"Powiat chełmski";195793;
0604000;"Powiat hrubieszowski";278976;
0605000;"Powiat janowski";230880;
0606000;"Powiat krasnostawski";251273;
0607000;"Powiat kraśnicki";428207;
0608000;"Powiat lubartowski";445939;
0609000;"Powiat lubelski";525750;
0610000;"Powiat łęczyński";298163;
0611000;"Powiat łukowski";383882;
0612000;"Powiat opolski";252589;
0613000;"Powiat parczewski";136522;
0614000;"Powiat puławski";468649;
0615000;"Powiat radzyński";206618;
0616000;"Powiat rycki";308256;
0617000;"Powiat świdnicki";343659;
0618000;"Powiat tomaszowski";331050;
0619000;"Powiat włodawski";175002;
0620000;"Powiat zamojski";318839;
0661000;"Powiat m.Biała Podlaska";308617;
0662000;"Powiat m.Chełm";372657;
0663000;"Powiat m.Lublin";1847319;
0664000;"Powiat m.Zamość";462343;
0801000;"Powiat gorzowski";176550;
0802000;"Powiat krośnieński";201419;
0803000;"Powiat międzyrzecki";209395;
0804000;"Powiat nowosolski";373764;
0805000;"Powiat słubicki";124784;
0806000;"Powiat strzelecko-drezdenecki";216304;
0807000;"Powiat sulęciński";147280;
0808000;"Powiat świebodziński";206723;
0809000;"Powiat zielonogórski";263092;
0810000;"Powiat żagański";298011;
0811000;"Powiat żarski";393627;
0812000;"Powiat wschowski";149569;
0861000;"Powiat m.Gorzów Wielkopolski";526893;
0862000;"Powiat m.Zielona Góra";661980;
1001000;"Powiat bełchatowski";442748;
1002000;"Powiat kutnowski";466457;
1003000;"Powiat łaski";201369;
1004000;"Powiat łęczycki";239343;
1005000;"Powiat łowicki";365967;
1006000;"Powiat łódzki wschodni";333970;
1007000;"Powiat opoczyński";286599;
1008000;"Powiat pabianicki";565227;
1009000;"Powiat pajęczański";196140;
1010000;"Powiat piotrkowski";360974;
