wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;w3;grupa_wiekowa;w1_0_11;w1_12_19;w1_20_39;w1_40_59;w1_60_69;w1_70plus;wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA;woj.;pow;nazwa;kod
dolnoœl¹skie;górowski;gm.m-w. Góra;19720;7405;4417;22,4;:;0;224;1275;2308;1825;1773;dolnoœl¹skie;górowski;gm.m-w. Góra;2;4;1;3;Góra;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;górowski;gm.m-w. Góra;020401
dolnoœl¹skie;górowski;gm.w. Jemielno;2967;860;509;17,2;:;0;10;149;235;235;231;dolnoœl¹skie;górowski;gm.w. Jemielno;2;4;2;2;Jemielno;gmina wiejska;43831;DOLNOŒL¥SKIE;górowski;gm.w. Jemielno;020402
dolnoœl¹skie;górowski;gm.w. Niechlów;4801;1460;902;18,8;:;0;36;238;440;398;348;dolnoœl¹skie;górowski;gm.w. Niechlów;2;4;3;2;Niechlów;gmina wiejska;43831;DOLNOŒL¥SKIE;górowski;gm.w. Niechlów;020403
dolnoœl¹skie;górowski;gm.m-w. W¹sosz;7064;2588;1469;20,8;:;0;81;441;854;641;571;dolnoœl¹skie;górowski;gm.m-w. W¹sosz;2;4;4;3;W¹sosz;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;górowski;gm.m-w. W¹sosz;020404
dolnoœl¹skie;jaworski;m. Jawor;22462;9457;5954;26,5;:;0;213;1635;2785;2604;2220;dolnoœl¹skie;jaworski;m. Jawor;2;5;1;1;Jawor;gmina miejska;43831;DOLNOŒL¥SKIE;jaworski;m. Jawor;020501
dolnoœl¹skie;jaworski;gm.m-w. Bolków;10311;3712;2162;21;:;0;123;614;1119;994;862;dolnoœl¹skie;jaworski;gm.m-w. Bolków;2;5;2;3;Bolków;gmina miejsko-wiejska;43831;DOLNOŒL¥SKIE;jaworski;gm.m-w. Bolków;020502
dolnoœl¹skie;jaworski;gm.w. Mêcinka;5007;1902;1255;25,1;:;0;63;382;674;429;354;dolnoœl¹skie;jaworski;gm.w. Mêcinka;2;5;3;2;Mêcinka;gmina wiejska;43831;DOLNOŒL¥SKIE;jaworski;gm.w. Mêcinka;020503
dolnoœl¹skie;jaworski;gm.w. Mœciwojów;4029;1526;1092;27,1;:;0;41;266;480;398;341;dolnoœl¹skie;jaworski;gm.w. Mœciwojów;2;5;4;2;Mœciwojów;gmina wiejska;43831;DOLNOŒL¥SKIE;jaworski;gm.w. Mœciwojów;020504
dolnoœl¹skie;jaworski;gm.w. Paszowice;4037;1488;952;23,6;:;0;27;287;519;361;294;dolnoœl¹skie;jaworski;gm.w. Paszowice;2;5;5;2;Paszowice;gmina wiejska;43831;DOLNOŒL¥SKIE;jaworski;gm.w. Paszowice;020505
dolnoœl¹skie;jaworski;gm.w. W¹dro¿e Wielkie;3888;1506;849;21,8;:;0;41;273;488;366;338;dolnoœl¹skie;jaworski;gm.w. W¹dro¿e Wielkie;2;5;6;2;W¹dro¿e Wielkie;gmina wiejska;43831;DOLNOŒL¥SKIE;jaworski;gm.w. W¹dro¿e Wielkie;020506
