"Kod";"Nazwa";"porady ogółem;ogółem;2019;[-]";
0201000;"Powiat bolesławiecki";430789;
0202000;"Powiat dzierżoniowski";502536;
0203000;"Powiat głogowski";392312;
0204000;"Powiat górowski";141542;
0205000;"Powiat jaworski";294190;
0206000;"Powiat karkonoski";204104;
0207000;"Powiat kamiennogórski";173913;
0208000;"Powiat kłodzki";818491;
0209000;"Powiat legnicki";200623;
0210000;"Powiat lubański";287652;
0211000;"Powiat lubiński";488223;
0212000;"Powiat lwówecki";219876;
0213000;"Powiat milicki";156736;
0214000;"Powiat oleśnicki";479647;
0215000;"Powiat oławski";359748;
0216000;"Powiat polkowicki";259860;
0217000;"Powiat strzeliński";208649;
0218000;"Powiat średzki";220858;
0219000;"Powiat świdnicki";773727;
0220000;"Powiat trzebnicki";389842;
0221000;"Powiat wałbrzyski";184958;
0222000;"Powiat wołowski";236787;
0223000;"Powiat wrocławski";574891;
0224000;"Powiat ząbkowicki";308406;
0225000;"Powiat zgorzelecki";376821;
0226000;"Powiat złotoryjski";190229;
0261000;"Powiat m.Jelenia Góra";412660;
0262000;"Powiat m.Legnica";419135;
0264000;"Powiat m.Wrocław";2910925;
0265000;"Powiat m.Wałbrzych od 2013";478147;
0401000;"Powiat aleksandrowski";309723;
0402000;"Powiat brodnicki";425508;
0403000;"Powiat bydgoski";449578;
0404000;"Powiat chełmiński";230598;
0405000;"Powiat golubsko-dobrzyński";242119;
0406000;"Powiat grudziądzki";120757;
0407000;"Powiat inowrocławski";887640;
0408000;"Powiat lipnowski";316456;
0409000;"Powiat mogileński";210130;
0410000;"Powiat nakielski";429392;
0411000;"Powiat radziejowski";226905;
0412000;"Powiat rypiński";226616;
0413000;"Powiat sępoleński";209951;
0414000;"Powiat świecki";433339;
0415000;"Powiat toruński";389261;
0416000;"Powiat tucholski";190286;
0417000;"Powiat wąbrzeski";190700;
0418000;"Powiat włocławski";391721;
0419000;"Powiat żniński";346880;
0461000;"Powiat m.Bydgoszcz";1660499;
0462000;"Powiat m.Grudziądz";395480;
0463000;"Powiat m.Toruń";1042254;
0464000;"Powiat m.Włocławek";606311;
0601000;"Powiat bialski";422022;
0602000;"Powiat biłgorajski";422257;
0603000;"Powiat chełmski";241186;
0604000;"Powiat hrubieszowski";306576;
0605000;"Powiat janowski";231240;
0606000;"Powiat krasnostawski";306173;
0607000;"Powiat kraśnicki";468814;
0608000;"Powiat lubartowski";470402;
0609000;"Powiat lubelski";601738;
0610000;"Powiat łęczyński";319425;
0611000;"Powiat łukowski";413727;
0612000;"Powiat opolski";277752;
0613000;"Powiat parczewski";153970;
0614000;"Powiat puławski";546514;
0615000;"Powiat radzyński";226215;
0616000;"Powiat rycki";356848;
0617000;"Powiat świdnicki";394369;
0618000;"Powiat tomaszowski";373354;
0619000;"Powiat włodawski";209307;
0620000;"Powiat zamojski";371525;
0661000;"Powiat m.Biała Podlaska";364588;
0662000;"Powiat m.Chełm";398573;
0663000;"Powiat m.Lublin";1927240;
