"Kod";"Nazwa";"porady ogółem;ogółem;2019;[-]";
0664000;"Powiat m.Zamość";463120;
0801000;"Powiat gorzowski";193190;
0802000;"Powiat krośnieński";220926;
0803000;"Powiat międzyrzecki";262642;
0804000;"Powiat nowosolski";405125;
0805000;"Powiat słubicki";141421;
0806000;"Powiat strzelecko-drezdenecki";228864;
0807000;"Powiat sulęciński";184823;
0808000;"Powiat świebodziński";246795;
0809000;"Powiat zielonogórski";304470;
0810000;"Powiat żagański";353740;
0811000;"Powiat żarski";459371;
0812000;"Powiat wschowski";167527;
0861000;"Powiat m.Gorzów Wielkopolski";607924;
0862000;"Powiat m.Zielona Góra";711713;
1001000;"Powiat bełchatowski";496942;
1002000;"Powiat kutnowski";482246;
1003000;"Powiat łaski";231896;
1004000;"Powiat łęczycki";257271;
1005000;"Powiat łowicki";400685;
1006000;"Powiat łódzki wschodni";342757;
1007000;"Powiat opoczyński";324085;
1008000;"Powiat pabianicki";602699;
1009000;"Powiat pajęczański";247201;
1010000;"Powiat piotrkowski";380499;
1011000;"Powiat poddębicki";209347;
1012000;"Powiat radomszczański";599235;
1013000;"Powiat rawski";202090;
1014000;"Powiat sieradzki";596763;
1015000;"Powiat skierniewicki";98055;
1016000;"Powiat tomaszowski";612673;
1017000;"Powiat wieluński";350414;
1018000;"Powiat wieruszowski";194238;
1019000;"Powiat zduńskowolski";321326;
1020000;"Powiat zgierski";824765;
1021000;"Powiat brzeziński";137131;
1061000;"Powiat m.Łódź";3387892;
1062000;"Powiat m.Piotrków Trybunalski";544509;
1063000;"Powiat m.Skierniewice";273299;
1201000;"Powiat bocheński";483942;
1202000;"Powiat brzeski";323058;
1203000;"Powiat chrzanowski";545295;
1204000;"Powiat dąbrowski";234403;
1205000;"Powiat gorlicki";496004;
1206000;"Powiat krakowski";1142832;
1207000;"Powiat limanowski";512562;
1208000;"Powiat miechowski";223920;
1209000;"Powiat myślenicki";565854;
1210000;"Powiat nowosądecki";819267;
1211000;"Powiat nowotarski";628604;
1212000;"Powiat olkuski";495699;
1213000;"Powiat oświęcimski";678330;
1214000;"Powiat proszowicki";195992;
1215000;"Powiat suski";327722;
1216000;"Powiat tarnowski";740496;
1217000;"Powiat tatrzański";227391;
1218000;"Powiat wadowicki";570828;
1219000;"Powiat wielicki";547378;
1261000;"Powiat m.Kraków";3451262;
1262000;"Powiat m.Nowy Sącz";459350;
1263000;"Powiat m.Tarnów";625782;
1401000;"Powiat białobrzeski";167494;
1402000;"Powiat ciechanowski";423124;
1403000;"Powiat garwoliński";496189;
1404000;"Powiat gostyniński";210090;
1405000;"Powiat grodziski";480652;
1406000;"Powiat grójecki";375127;
1407000;"Powiat kozienicki";272381;
1408000;"Powiat legionowski";580191;
1409000;"Powiat lipski";147397;
1410000;"Powiat łosicki";144515;
1411000;"Powiat makowski";196018;
1412000;"Powiat miński";629112;
1413000;"Powiat mławski";270677;
1414000;"Powiat nowodworski";371337;
1415000;"Powiat ostrołęcki";304222;
1416000;"Powiat ostrowski";311670;
1417000;"Powiat otwocki";499201;
1418000;"Powiat piaseczyński";781518;
1419000;"Powiat płocki";442886;
1420000;"Powiat płoński";384718;
1421000;"Powiat pruszkowski";791919;
1422000;"Powiat przasnyski";269660;
1423000;"Powiat przysuski";170475;
1424000;"Powiat pułtuski";252553;
1425000;"Powiat radomski";454886;
1426000;"Powiat siedlecki";244109;
1427000;"Powiat sierpecki";254663;
1428000;"Powiat sochaczewski";430524;
1429000;"Powiat sokołowski";269916;
1430000;"Powiat szydłowiecki";191594;
1432000;"Powiat warszawski zachodni";474853;
1433000;"Powiat węgrowski";291985;
1434000;"Powiat wołomiński";1008233;
1435000;"Powiat wyszkowski";321992;
1436000;"Powiat zwoleński";136149;
1437000;"Powiat żuromiński";157411;
1438000;"Powiat żyrardowski";329317;
1461000;"Powiat m.Ostrołęka";298589;
1462000;"Powiat m.Płock";655174;
1463000;"Powiat m.Radom";1093343;
1464000;"Powiat m.Siedlce";493563;
1465000;"Powiat m. st. Warszawa";5865622;
1601000;"Powiat brzeski";455413;
1602000;"Powiat głubczycki";209803;
1603000;"Powiat kędzierzyńsko-kozielski";444181;
1604000;"Powiat kluczborski";260578;
1605000;"Powiat krapkowicki";309796;
1606000;"Powiat namysłowski";170988;
1607000;"Powiat nyski";645079;
1608000;"Powiat oleski";259449;
1609000;"Powiat opolski";425644;
1610000;"Powiat prudnicki";272064;
1611000;"Powiat strzelecki";300878;
1661000;"Powiat m.Opole";551117;
1801000;"Powiat bieszczadzki";95194;
1802000;"Powiat brzozowski";309533;
1803000;"Powiat dębicki";513383;
1804000;"Powiat jarosławski";557626;
1805000;"Powiat jasielski";501960;
1806000;"Powiat kolbuszowski";221837;
1807000;"Powiat krośnieński";517137;
1808000;"Powiat leżajski";310833;
1809000;"Powiat lubaczowski";229110;
1810000;"Powiat łańcucki";314770;
1811000;"Powiat mielecki";564331;
1812000;"Powiat niżański";253850;
1813000;"Powiat przemyski";200726;
1814000;"Powiat przeworski";310308;
1815000;"Powiat ropczycko-sędziszowski";300360;
1816000;"Powiat rzeszowski";664816;
1817000;"Powiat sanocki";411043;
1818000;"Powiat stalowowolski";436614;
1819000;"Powiat strzyżowski";282674;
1820000;"Powiat tarnobrzeski";199003;
1821000;"Powiat leski";238691;
1861000;"Powiat m.Krosno";252067;
1862000;"Powiat m.Przemyśl";343421;
1863000;"Powiat m.Rzeszów";993391;
1864000;"Powiat m.Tarnobrzeg";235112;
2001000;"Powiat augustowski";264754;
2002000;"Powiat białostocki";594304;
2003000;"Powiat bielski";297503;
2004000;"Powiat grajewski";189957;
2005000;"Powiat hajnowski";177095;
2006000;"Powiat kolneński";159583;
2007000;"Powiat łomżyński";94070;
2008000;"Powiat moniecki";150780;
2009000;"Powiat sejneński";90167;
2010000;"Powiat siemiatycki";180713;
2011000;"Powiat sokólski";283809;
2012000;"Powiat suwalski";95112;
2013000;"Powiat wysokomazowiecki";279102;
2014000;"Powiat zambrowski";188225;
2061000;"Powiat m.Białystok";1586092;
2062000;"Powiat m.Łomża";385283;
2063000;"Powiat m.Suwałki";360612;
2201000;"Powiat bytowski";342085;
2202000;"Powiat chojnicki";494575;
2203000;"Powiat człuchowski";238722;
2204000;"Powiat gdański";408523;
2205000;"Powiat kartuski";633775;
2206000;"Powiat kościerski";263536;
2207000;"Powiat kwidzyński";377650;
2208000;"Powiat lęborski";368866;
2209000;"Powiat malborski";309271;
2210000;"Powiat nowodworski";159480;
2211000;"Powiat pucki";355102;
2212000;"Powiat słupski";343141;
2213000;"Powiat starogardzki";516601;
2214000;"Powiat tczewski";599774;
2215000;"Powiat wejherowski";929080;
2216000;"Powiat sztumski";176272;
2261000;"Powiat m.Gdańsk";2217638;
2262000;"Powiat m.Gdynia";1105576;
2263000;"Powiat m.Słupsk";479126;
2264000;"Powiat m.Sopot";159753;
2401000;"Powiat będziński";710511;
2402000;"Powiat bielski";695798;
2403000;"Powiat cieszyński";859246;
2404000;"Powiat częstochowski";572246;
2405000;"Powiat gliwicki";540531;
2406000;"Powiat kłobucki";332435;
2407000;"Powiat lubliniecki";357235;
2408000;"Powiat mikołowski";528699;
2409000;"Powiat myszkowski";321223;
2410000;"Powiat pszczyński";521838;
2411000;"Powiat raciborski";407427;
2412000;"Powiat rybnicki";317476;
2413000;"Powiat tarnogórski";660642;
2414000;"Powiat bieruńsko-lędziński";284042;
2415000;"Powiat wodzisławski";696536;
2416000;"Powiat zawierciański";527751;
2417000;"Powiat żywiecki";617653;
2461000;"Powiat m.Bielsko-Biała";816419;
2462000;"Powiat m.Bytom";777391;
2463000;"Powiat m.Chorzów";545492;
2464000;"Powiat m.Częstochowa";974913;
2465000;"Powiat m.Dąbrowa Górnicza";515713;
2466000;"Powiat m.Gliwice";698477;
2467000;"Powiat m.Jastrzębie-Zdrój";443692;
2468000;"Powiat m.Jaworzno";414001;
2469000;"Powiat m.Katowice";1502076;
2470000;"Powiat m.Mysłowice";349452;
2471000;"Powiat m.Piekary Śląskie";315094;
2472000;"Powiat m.Ruda Śląska";643394;
2473000;"Powiat m.Rybnik";591504;
2474000;"Powiat m.Siemianowice Śląskie";320295;
2475000;"Powiat m.Sosnowiec";956709;
2476000;"Powiat m.Świętochłowice";254268;
2477000;"Powiat m.Tychy";608066;
2478000;"Powiat m.Zabrze";748599;
2479000;"Powiat m.Żory";239660;
2601000;"Powiat buski";292611;
2602000;"Powiat jędrzejowski";387187;
2603000;"Powiat kazimierski";101188;
2604000;"Powiat kielecki";780532;
2605000;"Powiat konecki";387893;
2606000;"Powiat opatowski";245717;
2607000;"Powiat ostrowiecki";553413;
2608000;"Powiat pińczowski";172081;
2609000;"Powiat sandomierski";352821;
2610000;"Powiat skarżyski";375502;
2611000;"Powiat starachowicki";501956;
2612000;"Powiat staszowski";271043;
2613000;"Powiat włoszczowski";220116;
2661000;"Powiat m.Kielce";1089609;
2801000;"Powiat bartoszycki";238099;
2802000;"Powiat braniewski";157983;
2803000;"Powiat działdowski";290220;
2804000;"Powiat elbląski";211776;
2805000;"Powiat ełcki";386935;
2806000;"Powiat giżycki";280308;
2807000;"Powiat iławski";407791;
2808000;"Powiat kętrzyński";272221;
2809000;"Powiat lidzbarski";180159;
2810000;"Powiat mrągowski";253756;
2811000;"Powiat nidzicki";157864;
2812000;"Powiat nowomiejski";156657;
2813000;"Powiat olecki";155146;
2814000;"Powiat olsztyński";519933;
2815000;"Powiat ostródzki";434913;
2816000;"Powiat piski";242612;
2817000;"Powiat szczycieński";352752;
2818000;"Powiat gołdapski";125457;
2819000;"Powiat węgorzewski";119233;
2861000;"Powiat m.Elbląg";637051;
2862000;"Powiat m.Olsztyn";917124;
3001000;"Powiat chodzieski";231278;
3002000;"Powiat czarnkowsko-trzcianecki";439038;
3003000;"Powiat gnieźnieński";679554;
3004000;"Powiat gostyński";384358;
3005000;"Powiat grodziski";214120;
3006000;"Powiat jarociński";359160;
3007000;"Powiat kaliski";304805;
3008000;"Powiat kępiński";269229;
3009000;"Powiat kolski";412547;
3010000;"Powiat koniński";531352;
3011000;"Powiat kościański";374505;
3012000;"Powiat krotoszyński";361955;
3013000;"Powiat leszczyński";203713;
3014000;"Powiat międzychodzki";122353;
3015000;"Powiat nowotomyski";416867;
3016000;"Powiat obornicki";286615;
3017000;"Powiat ostrowski";782753;
3018000;"Powiat ostrzeszowski";267915;
3019000;"Powiat pilski";758847;
3020000;"Powiat pleszewski";326703;
3021000;"Powiat poznański";1776904;
3022000;"Powiat rawicki";329857;
3023000;"Powiat słupecki";334578;
3024000;"Powiat szamotulski";361320;
3025000;"Powiat średzki";269968;
3026000;"Powiat śremski";267609;
3027000;"Powiat turecki";441989;
3028000;"Powiat wągrowiecki";332421;
3029000;"Powiat wolsztyński";238903;
3030000;"Powiat wrzesiński";373237;
3031000;"Powiat złotowski";345418;
3061000;"Powiat m.Kalisz";591679;
3062000;"Powiat m.Konin";458502;
3063000;"Powiat m.Leszno";405075;
3064000;"Powiat m.Poznań";2691305;
3201000;"Powiat białogardzki";241067;
3202000;"Powiat choszczeński";239450;
3203000;"Powiat drawski";298607;
3204000;"Powiat goleniowski";503646;
3205000;"Powiat gryficki";268447;
3206000;"Powiat gryfiński";447282;
3207000;"Powiat kamieński";214260;
3208000;"Powiat kołobrzeski";378050;
3209000;"Powiat koszaliński";259790;
3210000;"Powiat myśliborski";333487;
3211000;"Powiat policki";340679;
3212000;"Powiat pyrzycki";148656;
3213000;"Powiat sławieński";230360;
3214000;"Powiat stargardzki";563406;
3215000;"Powiat szczecinecki";471152;
3216000;"Powiat świdwiński";254971;
3217000;"Powiat wałecki";221487;
3218000;"Powiat łobeski";149477;
3261000;"Powiat m.Koszalin";631674;
3262000;"Powiat m.Szczecin";1828732;
3263000;"Powiat m.Świnoujście";227483;
